flight_carrier,flight_number,station,departure,expected,hours_in_advance
DL,73,AMS,2025-11-23 10:10:00Z,2025-11-23 21:10:00Z,11
DL,73,AMS,2025-11-24 10:10:00Z,2025-11-24 21:10:00Z,11
DL,75,AMS,2025-11-23 13:30:00Z,2025-11-23 00:30:00Z,11
DL,75,AMS,2025-11-24 13:30:00Z,2025-11-24 00:30:00Z,11
DL,243,AMS,2025-11-23 11:45:00Z,2025-11-23 22:45:00Z,11
DL,243,AMS,2025-11-24 11:45:00Z,2025-11-24 22:45:00Z,11
DL,257,AMS,2025-11-23 14:30:00Z,2025-11-23 01:30:00Z,11
DL,257,AMS,2025-11-24 14:30:00Z,2025-11-24 01:30:00Z,11
DL,133,AMS,2025-11-23 09:20:00Z,2025-11-23 20:20:00Z,11
DL,133,AMS,2025-11-24 09:20:00Z,2025-11-24 20:20:00Z,11
DL,135,AMS,2025-11-23 10:35:00Z,2025-11-23 21:35:00Z,11
DL,135,AMS,2025-11-24 10:35:00Z,2025-11-24 21:35:00Z,11
DL,137,AMS,2025-11-23 13:00:00Z,2025-11-23 00:00:00Z,11
DL,137,AMS,2025-11-24 13:00:00Z,2025-11-24 00:00:00Z,11
DL,47,AMS,2025-11-23 10:00:00Z,2025-11-23 21:00:00Z,11
DL,47,AMS,2025-11-24 10:00:00Z,2025-11-24 21:00:00Z,11
DL,49,AMS,2025-11-23 11:10:00Z,2025-11-23 22:10:00Z,11
DL,49,AMS,2025-11-24 11:10:00Z,2025-11-24 22:10:00Z,11
DL,161,AMS,2025-11-23 09:40:00Z,2025-11-23 20:40:00Z,11
DL,161,AMS,2025-11-24 09:40:00Z,2025-11-24 20:40:00Z,11
DL,163,AMS,2025-11-23 12:55:00Z,2025-11-23 23:55:00Z,11
DL,163,AMS,2025-11-24 12:55:00Z,2025-11-24 23:55:00Z,11
DL,165,AMS,2025-11-23 15:10:00Z,2025-11-23 02:10:00Z,11
DL,165,AMS,2025-11-24 15:10:00Z,2025-11-24 02:10:00Z,11
DL,143,AMS,2025-11-23 10:20:00Z,2025-11-23 21:20:00Z,11
DL,143,AMS,2025-11-24 10:20:00Z,2025-11-24 21:20:00Z,11
DL,145,AMS,2025-11-23 14:40:00Z,2025-11-23 01:40:00Z,11
DL,145,AMS,2025-11-24 14:40:00Z,2025-11-24 01:40:00Z,11
DL,57,AMS,2025-11-23 10:35:00Z,2025-11-23 21:35:00Z,11
DL,57,AMS,2025-11-24 10:35:00Z,2025-11-24 21:35:00Z,11
